CO2 (g/s) [estimated maf],CO2 (g/s) [maf],estimated_maf,intake_pressure,intake_temperature,latitude,longitude,maf,rpm,speed
0.7941106671533265,0.6396588486140725,3.724379028949101,50.0,53.0,-5.796385,-35.199142,3.0,797.0,3.0
0.7941106671533265,0.6396588486140725,3.724379028949101,50.0,53.0,-5.796388,-35.199142,3.0,797.0,2.0
0.7916994402844291,0.6396588486140725,3.713070374933973,51.0,53.0,-5.796389,-35.199142,3.0,779.0,0.0
0.7754386045404614,0.6396588486140725,3.636807055294764,51.0,53.0,-5.79639,-35.199142,3.0,763.0,0.0
0.7453616870197526,0.6396588486140725,3.4957463121226398,49.0,52.0,-5.79639,-35.199142,3.0,761.0,0.0
0.7483000379541274,0.6396588486140725,3.5095271780048574,49.0,52.0,-5.796391,-35.199142,3.0,764.0,0.0
0.762572028206805,0.6396588486140725,3.576462812289916,50.0,52.0,-5.796391,-35.199142,3.0,763.0,0.0
0.7443822367082943,0.6396588486140725,3.4911526901619,49.0,52.0,-5.796392,-35.199142,3.0,760.0,0.0
0.7795038134764534,0.6396588486140725,3.6558728852045657,51.0,53.0,-5.796393,-35.199146,3.0,767.0,0.0
0.7562484270632055,0.6396588486140725,3.546805122926433,50.0,53.0,-5.796397,-35.199146,3.0,759.0,1.0
1.3449251991052862,1.492537313432836,6.307699183803792,63.0,52.0,-5.796404,-35.199154,7.0,1068.0,3.0
1.94067085385432,1.9189765458422172,9.10174630457676,64.0,52.0,-5.796415,-35.199158,9.0,1517.0,6.0
2.250856770858597,2.55863539445629,10.55651825532682,61.0,52.0,-5.796434,-35.199165,12.0,1846.0,10.0
2.460379182383204,2.345415778251599,11.539178365377223,56.0,52.0,-5.796453,-35.199173,11.0,2198.0,12.0
2.318358887221753,2.55863539445629,10.873103181070022,63.0,52.0,-5.796477,-35.199181,12.0,1841.0,15.0
3.0774128898200543,3.1982942430703627,14.433066453256057,73.0,52.0,-5.796508,-35.199192,15.0,2109.0,18.0
2.492840964134392,2.345415778251599,11.6914241217903,56.0,52.0,-5.796538,-35.199203,11.0,2227.0,20.0
2.543952279367022,2.985074626865672,11.931136190231332,79.0,52.0,-5.796569,-35.199215,14.0,1611.0,21.0
2.970253030233772,3.4115138592750536,13.930486711796387,87.0,52.0,-5.796609,-35.199226,16.0,1708.0,23.0
2.956900523946953,3.1982942430703627,13.86786345731121,82.0,52.0,-5.796647,-35.199242,15.0,1804.0,25.0
3.024262718837043,3.1982942430703627,14.183792151345733,101.0,52.0,-5.797812,-35.19968,15.0,1498.0,39.0
3.1191494663572974,3.4115138592750536,14.628810997215725,101.0,52.0,-5.797869,-35.199699,16.0,1545.0,40.0
3.0474896833659115,3.4115138592750536,14.292726614986124,99.0,52.0,-5.797928,-35.199718,16.0,1540.0,41.0
3.207979612972004,3.4115138592750536,15.045424384838697,101.0,52.0,-5.797998,-35.199745,16.0,1589.0,42.0
3.132282096043585,3.4115138592750536,14.690403030444417,98.0,52.0,-5.798059,-35.199768,16.0,1599.0,43.0
2.3230162733966457,2.1321961620469083,10.894946322230268,73.0,52.0,-5.798129,-35.199795,10.0,1592.0,44.0
2.134562037959327,2.1321961620469083,10.011095958029244,66.0,52.0,-5.798192,-35.199818,10.0,1618.0,44.0
2.160947230023101,2.1321961620469083,10.134842508808344,66.0,52.0,-5.798256,-35.199841,10.0,1638.0,45.0
2.052648009870428,2.1321961620469083,9.626919166292303,63.0,52.0,-5.798319,-35.199863,10.0,1630.0,45.0
2.104418954904652,2.1321961620469083,9.869724898502817,64.0,52.0,-5.798383,-35.199886,10.0,1645.0,45.0
2.1056982369441077,2.1321961620469083,9.875724731267862,64.0,52.0,-5.798457,-35.199913,10.0,1646.0,45.0
2.0498096028453854,2.1321961620469083,9.613607037344858,62.0,52.0,-5.798522,-35.199936,10.0,1654.0,45.0
2.0627223559311414,2.1321961620469083,9.674167849317053,63.0,52.0,-5.798595,-35.199963,10.0,1638.0,45.0
2.015109077525149,2.1321961620469083,9.450861573592949,62.0,52.0,-5.798657,-35.199986,10.0,1626.0,45.0
2.0801125961549927,2.1321961620469083,9.755728075966916,64.0,52.0,-5.79872,-35.200008,10.0,1626.0,45.0
2.8496007428876053,3.4115138592750536,13.364627484142868,88.0,52.0,-5.798794,-35.200035,16.0,1620.0,45.0
3.078605797382385,3.4115138592750536,14.438661189723383,93.0,51.0,-5.798859,-35.200062,16.0,1651.0,44.0
